a    b     c      brian constant
6    38    40     1.503048208727349
6    39    30     1.503048208720071
6    39    31     1.503048208730691
6    39    32     1.50304820872582
6    39    33     1.503048208728055
6    39    34     1.503048208727029
6    39    35     1.5030482087275
6    39    36     1.503048208727284
6    39    37     1.503048208727383
6    39    38     1.503048208727338
6    39    39     1.503048208727359
6    39    40     1.503048208727348
6    40    30     1.503048208720071
6    40    31     1.503048208730691
6    40    32     1.50304820872582
6    40    33     1.503048208728054
6    40    34     1.50304820872703
6    40    35     1.503048208727499
6    40    36     1.503048208727284
6    40    37     1.503048208727383
6    40    38     1.503048208727338
6    40    39     1.503048208727359
6    40    40     1.503048208727349
7    30    30     1.503048067572057
7    30    31     1.503048067572766
7    30    32     1.503048067572475
7    30    33     1.503048067572594
7    30    34     1.503048067572544
7    30    35     1.503048067572565
7    30    36     1.503048067572556
7    30    37     1.503048067572561
7    30    38     1.503048067572558
7    30    39     1.503048067572559
7    30    40     1.503048067572558
7    31    30     1.50304806757352
7    31    31     1.503048067574231
7    31    32     1.503048067573939
7    31    33     1.503048067574058
7    31    34     1.503048067574009
7    31    35     1.50304806757403
7    31    36     1.503048067574021
7    31    37     1.503048067574025
7    31    38     1.503048067574023
7    31    39     1.503048067574024
7    31    40     1.503048067574023
7    32    30     1.503048067572849
7    32    31     1.503048067573558
7    32    32     1.503048067573268
7    32    33     1.503048067573387
7    32    34     1.503048067573338
7    32    35     1.503048067573357
7    32    36     1.503048067573349
7    32    37     1.503048067573354
7    32    38     1.503048067573352
7    32    39     1.503048067573353
7    32    40     1.503048067573352
7    33    30     1.503048067573158
7    33    31     1.503048067573866
7    33    32     1.503048067573576
7    33    33     1.503048067573695
7    33    34     1.503048067573647
7    33    35     1.503048067573667
7    33    36     1.503048067573658
7    33    37     1.503048067573661
7    33    38     1.50304806757366
7    33    39     1.503048067573661
7    33    40     1.50304806757366
7    34    30     1.503048067573017
7    34    31     1.503048067573726
7    34    32     1.503048067573434
7    34    33     1.503048067573553
7    34    34     1.503048067573505
7    34    35     1.503048067573524
7    34    36     1.503048067573516
7    34    37     1.50304806757352
7    34    38     1.503048067573519
7    34    39     1.50304806757352
7    34    40     1.503048067573519
7    35    30     1.50304806757308
7    35    31     1.503048067573791
7    35    32     1.503048067573499
7    35    33     1.503048067573618
7    35    34     1.50304806757357
7    35    35     1.503048067573589
7    35    36     1.503048067573581
7    35    37     1.503048067573585
7    35    38     1.503048067573582
7    35    39     1.503048067573584
7    35    40     1.503048067573583
7    36    30     1.503048067573051
7    36    31     1.503048067573762
7    36    32     1.503048067573469
7    36    33     1.503048067573589
7    36    34     1.503048067573541
7    36    35     1.50304806757356
7    36    36     1.503048067573552
7    36    37     1.503048067573555
7    36    38     1.503048067573555
7    36    39     1.503048067573555
7    36    40     1.503048067573555
7    37    30     1.503048067573064
7    37    31     1.503048067573774
7    37    32     1.503048067573482
7    37    33     1.503048067573602
7    37    34     1.503048067573553
7    37    35     1.503048067573573
7    37    36     1.503048067573566
7    37    37     1.503048067573568
7    37    38     1.503048067573566
7    37    39     1.503048067573567
7    37    40     1.503048067573566
7    38    30     1.503048067573058
7    38    31     1.503048067573769
7    38    32     1.503048067573477
7    38    33     1.503048067573597
7    38    34     1.503048067573547
7    38    35     1.503048067573568
7    38    36     1.50304806757356
7    38    37     1.503048067573563
7    38    38     1.503048067573562
7    38    39     1.503048067573562
7    38    40     1.503048067573562
7    39    30     1.503048067573061
7    39    31     1.503048067573769
7    39    32     1.503048067573478
7    39    33     1.503048067573598
7    39    34     1.503048067573549
7    39    35     1.503048067573569
7    39    36     1.503048067573561
7    39    37     1.503048067573564
7    39    38     1.503048067573563
7    39    39     1.503048067573563
7    39    40     1.503048067573563
7    40    30     1.503048067573062
7    40    31     1.503048067573771
7    40    32     1.503048067573479
7    40    33     1.503048067573599
7    40    34     1.50304806757355
7    40    35     1.50304806757357
7    40    36     1.503048067573562
7    40    37     1.503048067573565
7    40    38     1.503048067573564
7    40    39     1.503048067573564
7    40    40     1.503048067573565
8    30    30     1.503048083703753
8    30    31     1.5030480837138
8    30    32     1.503048083709139
8    30    33     1.503048083711301
8    30    34     1.503048083710298
8    30    35     1.503048083710764
8    30    36     1.503048083710548
8    30    37     1.503048083710648
8    30    38     1.503048083710602
8    30    39     1.503048083710623
8    30    40     1.503048083710613
8    31    30     1.503048083703838
8    31    31     1.503048083713885
8    31    32     1.503048083709224
8    31    33     1.503048083711386
8    31    34     1.503048083710382
8    31    35     1.503048083710848
8    31    36     1.503048083710632
8    31    37     1.503048083710732
8    31    38     1.503048083710686
8    31    39     1.503048083710707
8    31    40     1.503048083710697
8    32    30     1.503048083703803
8    32    31     1.503048083713849
8    32    32     1.503048083709189
8    32    33     1.503048083711352
8    32    34     1.503048083710348
8    32    35     1.503048083710813
8    32    36     1.503048083710598
8    32    37     1.503048083710698
8    32    38     1.503048083710651
8    32    39     1.503048083710673
8    32    40     1.503048083710663
8    33    30     1.503048083703818
8    33    31     1.503048083713863
8    33    32     1.503048083709203
8    33    33     1.503048083711366
8    33    34     1.503048083710363
8    33    35     1.503048083710828
8    33    36     1.503048083710612
8    33    37     1.503048083710713
8    33    38     1.503048083710667
8    33    39     1.503048083710688
8    33    40     1.503048083710677
8    34    30     1.503048083703812
8    34    31     1.503048083713858
