a b c brian_constant
1 23 35 1.492066037666775
1 23 36 1.492066037666775
1 23 37 1.492066037666775
1 23 38 1.492066037666775
1 23 39 1.492066037666775
1 23 40 1.492066037666775
1 24 2 3.854101966214909
1 24 3 1.495531792605945
1 24 4 1.491472786094108
1 24 5 1.492167864000275
1 24 6 1.492048568191018
1 24 7 1.492069034958905
1 24 8 1.492065523382632
1 24 9 1.492066125872867
1 24 10 1.492066022501856
1 24 11 1.492066040237516
1 24 12 1.492066037194558
1 24 13 1.492066037716647
1 24 14 1.492066037627071
1 24 15 1.49206603764244
1 24 16 1.492066037639803
1 24 17 1.492066037640255
1 24 18 1.492066037640178
1 24 19 1.492066037640191
1 24 20 1.492066037640189
1 24 21 1.492066037640189
1 24 22 1.492066037640189
1 24 23 1.492066037640189
1 24 24 1.492066037640189
1 24 25 1.492066037640189
1 24 26 1.492066037640189
1 24 27 1.492066037640189
1 24 28 1.492066037640189
1 24 29 1.492066037640189
1 24 30 1.492066037640189
1 24 31 1.492066037640189
1 24 32 1.492066037640189
1 24 33 1.492066037640189
1 24 34 1.492066037640189
1 24 35 1.492066037640189
1 24 36 1.492066037640189
1 24 37 1.492066037640189
1 24 38 1.492066037640189
1 24 39 1.492066037640189
1 24 40 1.492066037640189
1 25 2 3.854101966262967
1 25 3 1.495531792616244
1 25 4 1.491472786104238
1 25 5 1.492167864010434
1 25 6 1.492048568201173
1 25 7 1.49206903496906
1 25 8 1.492065523392786
1 25 9 1.492066125883022
1 25 10 1.49206602251201
1 25 11 1.492066040247671
1 25 12 1.492066037204713
1 25 13 1.492066037726802
1 25 14 1.492066037637225
1 25 15 1.492066037652594
1 25 16 1.492066037649957
1 25 17 1.49206603765041
1 25 18 1.492066037650332
1 25 19 1.492066037650346
1 25 20 1.492066037650343
1 25 21 1.492066037650344
1 25 22 1.492066037650344
1 25 23 1.492066037650344
1 25 24 1.492066037650344
1 25 25 1.492066037650344
1 25 26 1.492066037650344
1 25 27 1.492066037650344
1 25 28 1.492066037650344
1 25 29 1.492066037650344
1 25 30 1.492066037650344
1 25 31 1.492066037650344
1 25 32 1.492066037650344
1 25 33 1.492066037650344
1 25 34 1.492066037650344
1 25 35 1.492066037650344
1 25 36 1.492066037650344
1 25 37 1.492066037650344
1 25 38 1.492066037650344
1 25 39 1.492066037650344
1 25 40 1.492066037650344
1 26 2 3.854101966244611
1 26 3 1.49553179261231
1 26 4 1.491472786100369
1 26 5 1.492167864006554
1 26 6 1.492048568197294
1 26 7 1.492069034965182
1 26 8 1.492065523388908
1 26 9 1.492066125879143
1 26 10 1.492066022508131
1 26 11 1.492066040243792
1 26 12 1.492066037200834
1 26 13 1.492066037722923
1 26 14 1.492066037633347
1 26 15 1.492066037648716
1 26 16 1.492066037646079
1 26 17 1.492066037646531
1 26 18 1.492066037646454
1 26 19 1.492066037646467
1 26 20 1.492066037646465
1 26 21 1.492066037646465
1 26 22 1.492066037646465
1 26 23 1.492066037646465
1 26 24 1.492066037646465
